[TABLES]
## TCGA_VERSIONED.DNA_METHYLATION_CHR22_HG38_GDC_2017_01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba43
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
gene_name: TEXT | Gene name e.g. TTN, DDR1, etc.
Ensembl_gene_id_v: TEXT | The Ensembl gene ID from the underlying file, including the version suffix  --  eg ENSG00000235943.1

## TCGA_VERSIONED.RNASEQ_HG19_GDC_2017_02
original_gene_symbol: TEXT | Gene symbol from the original data file, differs if the approved gene symbol has since changed, eg C11orf17 became AKIP1
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
HGNC_gene_symbol: TEXT | HUGO Gene Nomenclature Committee gene symbol, based on gene_id in original data file, eg AMY1A. Null if no gene symbol could be found (see documentation for additional details regarding ETL) http://isb-cancer-genomics-cloud.readthedocs.io/en/latest/sections/data/data2/ETL_mRNAexpression.html
normalized_count: FLOAT | Normalized gene expression from original rsem.genes.normalized_results file
gene_id: NUMBER | The gene symbol. In this table, gene symbol is gene namee.g. ENSG00000251562
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
platform: TEXT | Platform used to generate data; either IlluminaHiSeq (for close to 93% of samples) or IlluminaGA

## TCGA_VERSIONED.DNA_METHYLATION_CHR13_HG38_GDC_2017_01
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba23
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba16
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-08
probe_id: TEXT | Unique ID for the array probe associated with a CpG site
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
beta_value: FLOAT | Represents the ratio between the methylated array intensity and total array intensity, falls between 0 (lower levels of methylation) and 1 (higher levels of methylation)
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27

## TCGA_VERSIONED.RNASEQ_HG38_GDC_R40
case_barcode: TEXT | Original case barcode
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode)
stranded_first: NUMBER | Number of mapped reads mapping to only the first strand of the genomic region of each gene as calculated by STAR
platform: TEXT | Platform used to generate data; eg. IlluminaHiSeq or IlluminaGA
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode)
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
fpkm_unstranded: FLOAT | Fragments per kilobase of transcript per million mapped reads (FPKM) calculation, intended to control for transcript length and overall sequencing quantity
Ensembl_gene_id_v: TEXT | The Ensembl gene ID from the underlying file, including the version suffix -- eg. ENSG00000235943.1
aliquot_barcode: TEXT | TCGA aliquot barcode, eg. TCGA-12-1089-01A-01D-0517-31
primary_site: TEXT | Anatomical site of the cancer under investigation or review
stranded_second: NUMBER | Number of mapped reads mapping to only the second strand of the genomic region of each gene as calculated by STAR
gene_type: TEXT | The type of genetic element the reads mapped to, eg. protein_coding, ribozyme
Ensembl_gene_id: TEXT | The Ensembl gene ID from the underlying file, but stripped of the version suffix -- eg. ENSG00000185028
tpm_unstranded: FLOAT | Transcripts per million with transcripts normalized for length, as calculated by a custom GDC pipeline
unstranded: NUMBER | Number of mapped reads mapping to both strands of the genomic region of each gene as calculated by STAR
file_gdc_id: TEXT | Unique GDC identifier for the file containing the expression values (corresponds to the file_barcode)
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode)
fpkm_uq_unstranded: FLOAT | Upper quartile FPKM (FPKM-UQ), a modified FPKM calculation in which the protein coding gene in the 75th percentile position is substituted for the sequencing quantity. This is thought to provide a more stable value than including the noisier genes at the extremes
sample_type_name: TEXT | The longer name of the sample type; eg. Primary Tumor, Recurrent Tumor, etc
sample_barcode: TEXT | sample barcode, eg. TCGA-12-1089-01A. One sample may have multiple sets of expression values corresponding to multiple aliquots; use GROUP BY appropriately in queries
gene_name: TEXT | Gene name eg. TTN, DDR1

## TCGA_VERSIONED.CLINICAL_CPTAC_TCGA_PDC_V1_17
days_to_death: NUMBER | Number of days between the date used for index and the date from a person's date of death represented as a calculated number of days
vital_status: TEXT | The survival state of the person registered on the protocol
primary_site: TEXT | The text term used to describe the general location of the malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O)
ajcc_pathologic_m: TEXT | Code to represent the defined absence or presence of distant spread or metastases (M) to locations via vascular channels or lymphatics beyond the regional lymph nodes, using criteria established by the American Joint Committee on Cancer (AJCC)
hiv_positive: TEXT | Text term to signify whether a physician has diagnosed HIV infection in a patient
prior_treatment: BOOLEAN | A yes/no/unknown/not applicable indicator related to the administration of therapeutic agents received before the body specimen was collected
days_to_hiv_diagnosis: TEXT | Time interval from the date of the initial pathologic diagnosis to the date of human immunodeficiency diagnosis, represented as a calculated number of days
ldh_normal_range_upper: TEXT | The top value of the range of statistical characteristics that are supposed to represent accepted standard, non-pathological pattern for lactate dehydrogenase (units not specified)
hpv_positive_type: TEXT | Text classification to represent the strain or type of human papillomavirus identified in an individual
project_submitter_id: TEXT | Project Submitter ID (e.g. PJ25730263, Georgetown Lung Cancer Proteomics Study)
morphology: TEXT | The third edition of the International Classification of Diseases for Oncology, published in 2000 used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms. The study of the structure of the cells and their arrangement to constitute tissues and, finally, the association among these to form organs. In pathology, the microscopic process of identifying normal and abnormal morphologic characteristics in tissues, by employing various cytochemical and immunocytochemical stains. A system of numbered categories for representation of data
year_of_death: NUMBER | Numeric value to represent the year of the death of an individual
days_to_last_known_disease_status: NUMBER | Time interval from the date of last follow up to the date of initial pathologic diagnosis, represented as a calculated number of days
ethnicity: TEXT | An individual's self-described social and cultural grouping, specifically whether an individual describes themselves as Hispanic or Latino, based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau
site_of_resection_or_biopsy: TEXT | The text term used to describe the anatomic site of origin, of the patient's malignant disease, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O)
hpv_status: TEXT | The findings of the oncogenic HPV
days_to_new_event: TEXT | Time interval from the date of new tumor event including progression, recurrence and new primary malignancies to the date of initial pathologic diagnosis, represented as a calculated number of days
new_event_anatomic_site: TEXT | Text term to specify the anatomic location of the return of tumor after treatment
tissue_or_organ_of_origin: TEXT | The text term used to describe the anatomic site of origin, of the patient's malignant disease, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O)
ajcc_pathologic_t: TEXT | Code of pathological T (primary tumor) to define the size or contiguous extension of the primary tumor (T), using staging criteria from the American Joint Committee on Cancer (AJCC)
year_of_birth: NUMBER | Numeric value to represent the calendar year in which an individual was born
age_at_diagnosis: NUMBER | Age at the time of diagnosis expressed in number of days since birth
ldh_level_at_diagnosis: TEXT | The 2 decimal place numeric laboratory value measured, assigned or computed related to the assessment of lactate dehydrogenase in a specimen
disease_type: TEXT | The text term used to describe the type of malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O)
figo_stage: TEXT | The extent of a cervical or endometrial cancer within the body, especially whether the disease has spread from the original site to other parts of the body, as described by the International Federation of Gynecology and Obstetrics (FIGO) stages
diagnosis_id: TEXT | Unique identifier for data from the investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms; also, the scientific determination of any kind; the concise results of such an investigation (e.g. e8dd475b-693a-11ea-b1fd-0aad30af8a83)
gender: TEXT | Text designations that identify gender; identification is self-reported and may come from a form, questionnaire, interview, etc.
demographic_id: TEXT | Unique identifier attributed to data for the characterization of the patient by means of segmenting the population--for instance, characterization by age, sex, or race (e.g. 848b480c-0f56-11e9-a064-0a9c39d33490)
lymph_nodes_positive: TEXT | The number of lymph nodes involved with disease as determined by pathologic examination
days_to_last_follow_up: NUMBER | Time interval from the date of last follow up to the date of initial pathologic diagnosis, represented as a calculated number of days
circumferential_resection_margin: TEXT | Numeric value used to describe the non-peritonealised bare area of rectum, comprising anterior and posterior segments, when submitted as a surgical specimen resulting from excision of cancer of the rectum
case_submitter_id: TEXT | Unique identifier deriving from the data submitter that is associated with a specific patient (e.g. 05BR016)
demographic_submitter_id: TEXT | Unique identifier deriving from data submitter that is attributed to data for the characterization of the patient by means of segmenting the population (e.g., characterization by age, sex, or race) (e.g. P001-DM)
ajcc_pathologic_stage: TEXT | The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria
